[2026-05-11T11:22:46.486227Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61036)
[2026-05-11T11:22:46.486697Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61036)
[2026-05-11T11:22:46.501141Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate APP-TEST-001 (serial: 000004) to ('127.0.0.1', 61036)
[2026-05-11T11:22:46.501345Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61036): Connection closed prematurely
[2026-05-11T11:22:46.501451Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61036)
[2026-05-11T11:22:47.213836Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61037)
[2026-05-11T11:22:47.214228Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61037)
[2026-05-11T11:22:47.214488Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61037): Connection closed prematurely
[2026-05-11T11:22:47.214542Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61037)
[2026-05-11T11:22:47.351510Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61038)
[2026-05-11T11:22:47.352001Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61038)
[2026-05-11T11:22:47.352303Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61038): Connection closed prematurely
[2026-05-11T11:22:47.352353Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61038)
[2026-05-11T11:22:47.555028Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61039)
[2026-05-11T11:22:47.555461Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61039)
[2026-05-11T11:22:47.573929Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate TEST-EXC-003 (serial: 000005) to ('127.0.0.1', 61039)
[2026-05-11T11:22:47.574108Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61039): Connection closed prematurely
[2026-05-11T11:22:47.574163Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61039)
[2026-05-11T11:22:48.124404Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61040)
[2026-05-11T11:22:48.124864Z] [DEBUG] [CA_CONN] msg_type=CERT_RENEW_REQUEST - Received UNKNOWN from ('127.0.0.1', 61040)
[2026-05-11T11:22:48.127528Z] [WARN] [CA_CERT] msg_type=N/A - Certificate renew mismatch: cert_id=TEST-EXC-003, machine_id=WRONG-MACHINE-ID, expected=TEST-EXC-003 error_code=CERT_MACHINE_ID_MISMATCH
[2026-05-11T11:22:48.127777Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61040): Connection closed prematurely
[2026-05-11T11:22:48.127835Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61040)
[2026-05-11T11:22:48.150037Z] [WARN] [CA_CERT] msg_type=N/A - Revoke failed: certificate NON-EXISTENT-CERT not found error_code=CERT_NOT_FOUND
[2026-05-11T11:22:48.949858Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61041)
[2026-05-11T11:22:48.950345Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61041)
[2026-05-11T11:22:48.964032Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate CLIENT-INT-001 (serial: 000006) to ('127.0.0.1', 61041)
[2026-05-11T11:22:48.964219Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61041): Connection closed prematurely
[2026-05-11T11:22:48.964269Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61041)
[2026-05-11T11:22:49.755771Z] [INFO] [CA_SERVER] msg_type=N/A - New connection from ('127.0.0.1', 61042)
[2026-05-11T11:22:49.756238Z] [DEBUG] [CA_CONN] msg_type=CERT_APPLY - Received UNKNOWN from ('127.0.0.1', 61042)
[2026-05-11T11:22:49.763740Z] [INFO] [CA_CERT] msg_type=N/A - Issued certificate APP-INT-001 (serial: 000007) to ('127.0.0.1', 61042)
[2026-05-11T11:22:49.764106Z] [ERROR] [CA_CONN] msg_type=N/A - Connection error with ('127.0.0.1', 61042): Connection closed prematurely
[2026-05-11T11:22:49.764152Z] [INFO] [CA_CONN] msg_type=N/A - Connection closed with ('127.0.0.1', 61042)
